Designator,Mid X,Mid Y,Rotation,Layer
D1,88.10625,-52.3875,0.0,top
D2,88.10625,-59.53125,0.0,top
SW1,104.775,-74.11,0.0,top
SW2,85.725,-93.16,0.0,top
SW3,104.775,-93.16,0.0,top
SW4,85.725,-74.11,0.0,top
U1,106.08625,-55.245,0.0,top
